BrandAAIAID|PartNumber|AssetType|OrientationView|Background|Representation|FileName|FileType|FileSize|Resolution|ColorMode|AssetHeight|AssetWidth|UOM|Details
BKDK|17115|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17115_3008x1990_a.jpg|JPG|84|300|RGB|1500|1500|PX|
BKDK|17120|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17120_3008x1990_ca.jpg|JPG|17|72|RGB|250|251|PX|
BKDK|17120|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17120_3008x1990_fa.jpg|JPG|19|72|RGB|250|251|PX|
BKDK|17120|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17120_3008x1990_fb.jpg|JPG|15|72|RGB|250|251|PX|
BKDK|17120|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17120_3008x1990_a.jpg|JPG|240|300|RGB|1500|1500|PX|
BKDK|17121|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17121_3008x1990_ca.jpg|JPG|16|72|RGB|250|251|PX|
BKDK|17121|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17121_3008x1990_fa.jpg|JPG|19|72|RGB|250|251|PX|
BKDK|17121|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17121_3008x1990_fb.jpg|JPG|16|72|RGB|250|251|PX|
BKDK|17121|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17121_3008x1990_a.jpg|JPG|222|300|RGB|1500|1500|PX|
BKDK|17122|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17122_3008x1990_ca.jpg|JPG|16|72|RGB|250|251|PX|
BKDK|17122|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17122_3008x1990_fa.jpg|JPG|19|72|RGB|250|251|PX|
BKDK|17122|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17122_3008x1990_fb.jpg|JPG|16|72|RGB|250|251|PX|
BKDK|17122|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17122_3008x1990_a.jpg|JPG|220|300|RGB|1500|1500|PX|
BKDK|17123|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17123_3008x1990_ca.jpg|JPG|16|72|RGB|250|251|PX|
BKDK|17123|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17123_3008x1990_fa.jpg|JPG|18|72|RGB|250|251|PX|
BKDK|17123|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17123_3008x1990_fb.jpg|JPG|14|72|RGB|250|251|PX|
BKDK|17123|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17123_3008x1990_a.jpg|JPG|185|300|RGB|1500|1500|PX|
BKDK|17124|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17124_3008x1990_ca.jpg|JPG|15|72|RGB|250|251|PX|
BKDK|17124|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17124_3008x1990_fa.jpg|JPG|15|72|RGB|250|251|PX|
BKDK|17124|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17124_3008x1990_a.jpg|JPG|172|300|RGB|1500|1500|PX|
BKDK|17125|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17125_3008x1990_ca.jpg|JPG|15|72|RGB|250|251|PX|
BKDK|17125|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17125_3008x1990_fa.jpg|JPG|15|72|RGB|250|251|PX|
BKDK|17125|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17125_3008x1990_a.jpg|JPG|114|300|RGB|1500|1500|PX|
BKDK|17131|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17131_3008x1990_ca.jpg|JPG|18|72|RGB|250|251|PX|
BKDK|17131|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17131_3008x1990_fa.jpg|JPG|20|72|RGB|250|251|PX|
BKDK|17131|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17131_3008x1990_fb.jpg|JPG|15|72|RGB|250|251|PX|
BKDK|17131|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17131_a.jpg|JPG|369|300|RGB|1500|1500|PX|
BKDK|17131|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17131_b.jpg|JPG|365|300|RGB|1500|1500|PX|
BKDK|17131|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17131_c.jpg|JPG|280|300|RGB|1500|1500|PX|
BKDK|17131|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17131_d.jpg|JPG|376|300|RGB|1500|1500|PX|
BKDK|17131|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17131_e.jpg|JPG|376|300|RGB|1500|1500|PX|
BKDK|17131|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17131_f.jpg|JPG|279|300|RGB|1500|1500|PX|
BKDK|17132|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17132_3008x1990_ca.jpg|JPG|17|72|RGB|250|251|PX|
BKDK|17132|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17132_3008x1990_fa.jpg|JPG|16|72|RGB|250|251|PX|
BKDK|17132|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17132_3008x1990_fb.jpg|JPG|28|72|RGB|250|251|PX|
BKDK|17132|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17132_3008x1990_fc.jpg|JPG|32|72|RGB|250|251|PX|
BKDK|17132|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17132_a.jpg|JPG|189|300|RGB|1500|1500|PX|
BKDK|17132|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17132_b.jpg|JPG|187|300|RGB|1500|1500|PX|
BKDK|17132|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17132_c.jpg|JPG|272|300|RGB|1500|1500|PX|
BKDK|17133|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17133_3008x1990_a.jpg|JPG|286|300|RGB|1500|1500|PX|
BKDK|17133|RGL|FRO|WHI||https://www.catalograck.com/ImgVD/CUR/CURT_Group-PROP65_Warning.jpg|JPG|10|72|RGB|59|250|PX|Proposition 65
BKDK|17134|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17134_3008x1990_a.jpg|JPG|191|300|RGB|1500|1500|PX|
BKDK|17134|RGL|FRO|WHI||https://www.catalograck.com/ImgVD/CUR/CURT_Group-PROP65_Warning.jpg|JPG|10|72|RGB|59|250|PX|Proposition 65
BKDK|17200|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17200_3008x1990_ca.jpg|JPG|12|72|RGB|250|251|PX|
BKDK|17200|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17200_3008x1990_fa.jpg|JPG|26|72|RGB|250|251|PX|
BKDK|17200|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17200_3008x1990_fc.jpg|JPG|18|72|RGB|250|251|PX|
BKDK|17200|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17200_3008x1990_fd.jpg|JPG|20|72|RGB|250|251|PX|
BKDK|17200|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17200_3008x1990_fe.jpg|JPG|35|72|RGB|250|251|PX|
BKDK|17200|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17200_3008x1990_fi.jpg|JPG|22|72|RGB|250|251|PX|
BKDK|17200|INS|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17200_INS.pdf|PDF|589||||||
BKDK|17200|P02|ANG|WHI|A|https://www.catalograck.com/ImgVD/CUR/17200_3008x1990_xa.jpg|JPG|11|72|RGB|250|251|PX|
BKDK|17200|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17200_3008x1990_a.jpg|JPG|163|300|RGB|1500|1500|PX|
BKDK|17200|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17200_3008x1990_ta.jpg|JPG|156|300|RGB|1500|1500|PX|
BKDK|17201|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17201_3008x1990_a.jpg|JPG|151|300|RGB|1500|1500|PX|
BKDK|17208|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17208_3008x1990_ca.jpg|JPG|14|72|RGB|250|251|PX|
BKDK|17208|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17208_3008x1990_fa.jpg|JPG|23|72|RGB|250|251|PX|
BKDK|17208|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17208_3008x1990_fb.jpg|JPG|29|72|RGB|250|251|PX|
BKDK|17208|INS|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17208_INS.pdf|PDF|113||||||
BKDK|17208|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17208_3008x1990_a.jpg|JPG|207|300|RGB|1500|1500|PX|
BKDK|17300|DRW|NUL|WHI||https://www.catalograck.com/ImgVD/CUR/17300_3008x1990_ca.jpg|JPG|17|72|RGB|250|251|PX|
BKDK|17300|FAB|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17300_3008x1990_fd.jpg|JPG|29|72|RGB|250|251|PX|
BKDK|17300|FAB|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17300_3008x1990_fe.jpg|JPG|34|72|RGB|250|251|PX|
BKDK|17300|FAB|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17300_3008x1990_ff.jpg|JPG|36|72|RGB|250|251|PX|
BKDK|17300|FAB|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17300_3008x1990_fg.jpg|JPG|36|72|RGB|250|251|PX|
BKDK|17300|FAB|NUL|WHI||https://www.catalograck.com/ImgVD/CUR/17300_3008x1990_fb.jpg|JPG|24|72|RGB|250|251|PX|
BKDK|17300|INS|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17300_INS.pdf|PDF|506||||||
BKDK|17300|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17300_3008x1990_a.jpg|JPG|113|300|RGB|1500|1500|PX|
BKDK|17302|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17302_3008x1990_ca.jpg|JPG|17|72|RGB|250|251|PX|
BKDK|17302|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17302_3008x1990_fa.jpg|JPG|24|72|RGB|250|251|PX|
BKDK|17302|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17302_3008x1990_fb.jpg|JPG|24|72|RGB|250|251|PX|
BKDK|17302|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17302_3008x1990_fd.jpg|JPG|29|72|RGB|250|251|PX|
BKDK|17302|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17302_3008x1990_fe.jpg|JPG|33|72|RGB|250|251|PX|
BKDK|17302|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17302_3008x1990_ff.jpg|JPG|36|72|RGB|250|251|PX|
BKDK|17302|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17302_3008x1990_fg.jpg|JPG|36|72|RGB|250|251|PX|
BKDK|17302|INS|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17302_INS.pdf|PDF|506||||||
BKDK|17302|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17302_3008x1990_a.jpg|JPG|114|300|RGB|1500|1500|PX|
BKDK|17302|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17302_3008x1990_ta.jpg|JPG|268|300|RGB|1500|1500|PX|
BKDK|17303|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17303_3008x1990_a.jpg|JPG|81|300|RGB|1500|1500|PX|
BKDK|17303|P06|LIF|NUL|R|https://www.catalograck.com/ImgVDHR/CUR/17303_3008x1990_ma.jpg|JPG|438|300|RGB|1500|1500|PX|
BKDK|17307|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17307_3008x1990_a.jpg|JPG|319|300|RGB|1500|1500|PX|
BKDK|17307|P06|LIF|NUL|R|https://www.catalograck.com/ImgVDHR/CUR/17307_3008x1990_ma.jpg|JPG|435|300|RGB|1500|1500|PX|
BKDK|17307|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17307_3008x1990_bg.jpg|JPG|314|300|RGB|1500|1500|PX|
BKDK|17312|INS|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17312_INS.pdf|PDF|206||||||
